--------------------------------------------
PID= 4 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:29:29 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 4 -Linea: 16
PID= 3 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:29:34 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 3 -Linea: 17
PID= 2 |Tipo= Reader | Fecha y hora= 2023-05-22 16:29:39 | Accion= Leyendo | Mensaje=  -Linea: 3 -PID: 9 -Hora y fecha: 2023-05-22 16:27:29
PID= 1 |Tipo= Reader | Fecha y hora= 2023-05-22 16:29:39 | Accion= Leyendo | Mensaje=  -Linea: 3 -PID: 9 -Hora y fecha: 2023-05-22 16:27:29
PID= 7 |Tipo= Writer | Fecha y hora= 2023-05-22 16:29:42 | Accion= Escribiendo | Mensaje= 16
PID= 8 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:29:47 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 8 -Linea: 10
PID= 10 |Tipo= Writer | Fecha y hora= 2023-05-22 16:29:50 | Accion= Escribiendo | Mensaje= 10
PID= 5 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:29:55 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 5 -Linea: 5
PID= 10 |Tipo= Writer | Fecha y hora= 2023-05-22 16:29:58 | Accion= Escribiendo | Mensaje= 5
PID= 2 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:30:03 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 2 -Linea: 19
PID= 5 |Tipo= Writer | Fecha y hora= 2023-05-22 16:30:06 | Accion= Escribiendo | Mensaje= 17
PID= 10 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:30:11 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 10 -Linea: 5
PID= 6 |Tipo= Writer | Fecha y hora= 2023-05-22 16:30:14 | Accion= Escribiendo | Mensaje= 5
PID= 9 |Tipo= Writer | Fecha y hora= 2023-05-22 16:30:17 | Accion= Escribiendo | Mensaje= 19
